page,cpu_time
2, 2.094500
4, 2.066750
8, 2.089250
16, 6.834812
32, 6.965250
64, 7.020094
128, 7.242422
256, 7.233398
512, 7.250691
1024, 7.245185
2048, 12.101965
4096, 14.898485
